"","mean_passive","rating","num_words_review","id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","percent_pronoun","type_token","mean_words_sent","num_cap_letters_sent","num_punc_sent"
"1",0,"4",31,"188942","0","1","0","0","1","0","0","2","0",4,0.166666666666667,0.935483870967742,6.2,1,2.2
"2",0,"5",28,"134058","0","0","0","0","2","0","0","1","0",2,0.4,0.892857142857143,9.33333333333333,1,1.33333333333333
"3",0,"5",62,"124022","1","3","1","1","1","1","1","2","1",2,0.142857142857143,0.80952380952381,10.3333333333333,1.83333333333333,2.66666666666667
"4",0,"5",11,"685285","0","0","0","0","0","0","0","0","0",1,0.25,1,3.66666666666667,1.33333333333333,1
"5",0,"4",125,"226318","1","0","0","0","0","3","0","0","4",1,0.4,0.694214876033058,13.8888888888889,2,1.55555555555556
"6",0,"5",64,"365209","0","0","0","0","3","0","1","2","1",5,0.333333333333333,0.761904761904762,10.6666666666667,2,2.66666666666667
"7",0,"5",31,"648795","1","0","0","0","0","0","0","1","2",1,0.5,0.935483870967742,15.5,0.5,3
"8",0,"5",17,"193627","0","0","0","0","0","0","0","0","0",0,0.4,0.9375,5.66666666666667,1,1
"9",0,"5",189,"569692","1","5","0","2","2","0","1","4","1",4,0.444444444444444,0.617801047120419,18.9,1.6,3.8
"10",0,"4",74,"589449","0","3","0","0","3","0","1","4","0",5,0.333333333333333,0.797297297297297,9.25,1.125,1.375
"11",0,"5",83,"832867","0","4","1","0","5","0","1","2","1",7,0.416666666666667,0.75,11.8571428571429,1.28571428571429,2.28571428571429
"12",0.5,"0",17,"497690","1","0","1","1","1","0","1","0","1",1,0.25,1,5.66666666666667,1,1
"13",0,"5",33,"402858","0","2","0","0","2","0","0","2","0",2,0.333333333333333,0.878787878787879,8.25,1.25,2.25
"14",0,"5",29,"583422","0","0","0","0","1","0","0","1","0",1,0.25,0.892857142857143,9.66666666666667,2.66666666666667,1
"15",0,"5",12,"183204","0","0","0","0","0","0","0","0","0",0,0,1,4,1,1
"16",0,"5",46,"669543","1","1","0","0","3","0","0","3","1",4,0.285714285714286,0.829787234042553,9.2,1.4,2.2
"17",0.125,"5",74,"277324","0","0","0","0","3","0","0","3","0",3,0.363636363636364,0.76056338028169,10.5714285714286,1.42857142857143,1.71428571428571
"18",0,"4",53,"613997","0","2","1","0","2","1","1","2","1",2,0.285714285714286,0.775510204081633,10.6,1,1.2
"19",0,"4",54,"402313","0","0","0","1","0","0","0","1","0",2,0.5,0.907407407407407,13.5,1.5,3.75
"20",0,"5",32,"554826","0","0","0","0","0","0","0","0","0",1,0.25,0.78125,6.4,1.4,1.6
"21",0,"5",36,"449435","1","1","1","1","2","0","2","2","1",2,0.333333333333333,0.777777777777778,9,1.5,1.75
"22",0,"5",28,"749877","0","1","0","0","0","0","0","0","0",0,0.4,0.96551724137931,9.33333333333333,1,2
"23",0.25,"5",63,"401205","1","3","1","0","6","0","2","7","3",7,0.5,0.73015873015873,15.75,1.25,1
"24",0,"5",68,"668896","0","4","2","2","4","1","2","4","2",4,0.4,0.811594202898551,13.6,2,4
"25",0,"5",15,"377049","0","0","0","0","0","0","0","0","0",1,0,0.875,5,0.333333333333333,2
"26",0,"5",45,"90077","0","0","0","0","2","0","0","0","0",3,0.428571428571429,0.866666666666667,15,1.33333333333333,2
"27",0,"0",13,"268360","0","1","0","0","0","0","0","1","1",0,0.5,1,13,0,0
"28",0,"5",121,"738879","0","5","2","1","2","3","2","1","6",4,0.411764705882353,0.677685950413223,13.4444444444444,1.77777777777778,2
"29",0,"5",45,"815826","2","1","0","0","2","1","1","1","2",2,0.285714285714286,0.886363636363636,9,1.4,1.6
"30",0,"5",27,"53241","0","0","0","1","0","0","0","0","1",1,0.25,0.888888888888889,9,1.33333333333333,1.66666666666667
"31",0,"0",41,"684185","0","0","0","0","1","0","0","1","0",2,0.333333333333333,0.878048780487805,20.5,1,3.5
"32",0.5,"4",27,"368917","0","1","0","0","1","1","1","0","0",3,0,0.896551724137931,13.5,6,4
"33",0,"5",147,"761055","2","3","0","0","3","0","1","3","1",5,0.466666666666667,0.595890410958904,18.375,1.75,2.625
"34",0,"5",51,"707016","0","2","0","0","2","0","1","2","0",2,0.285714285714286,0.84,10.2,4.8,5.4
